AdminPolicyName,AdminApplicationName,AdminType,AdminPath,AdminPathType,AdminCLSID,AdminCommandLine,CMDMatchCase,CMDMatchType,AdminPublisher,AdminPubType,AdminPubMatchCase,AdminProduct,AdminProdMatchCase,AdminProdType,AdminServiceDisName,,,,,,
Admin Tasks,Regional and Language Options,ControlPanelApplet,%SystemRoot%\System32\intl.cpl,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Power Options,COMClass,,,{BBD8C065-5E6C-4E88-BFD7-BE3E6D1C063B},,,,,,,,,,,,,,,,
Admin Tasks,System Properties,,,,,,,,,,,,,,,,,,,,too many different ones
Admin Tasks,Local Users and Groups,,,,,,,,,,,,,,,,,,,,
Admin Tasks,"Accessibility, Keyboard, Mouse, Sound, Speech",,,,,,,,,,,,,,,,,,,,
Admin Tasks,"Display, Colors, Fonts, Visual Effects",,,,,,,,,,,,,,,,,,,,
Admin Tasks,Date and Time,COMClass,,,{9DF523B0-A6C0-4EA9-B5F1-F4565C3AC8B8},,,,,,,,,,,,,,,,
Admin Tasks,Windows Backup & Restore,Executable,%SystemRoot%\System32\sdclt.exe,Contains,,/foreignrestore,No,Contains,,,,,,,,,,,,,
Admin Tasks,System Restore,Executable,%SystemRoot%\System32\rstrui.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Create a System Repair Disk,Executable,%SystemRoot%\System32\recdisc.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Windows Search Indexing Options,,,,,,,,,,,,,,,,,,,,
Admin Tasks,Windows Firewall,Executable,%SystemRoot%\System32\Firewall.cpl,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Hardware,Executable,%SystemRoot%\System32\SystemPropertiesHardware.exe,Contains,,,,,,,,,,,,,,,,,
Admin Tasks,Add/Remove Printers,Executable,%SystemRoot%\system32\rundll32.exe,Contains,,"printui.dll, PrintUIEntry /il",No,Contains,,,,,,,,,,,,,
