Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerDev,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerDev2,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpBrokerageAppServerFillManager,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest2,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest3,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest4,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest5,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTest6,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTestDT,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTestFX,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerCYP,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerDev,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerDev2,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpBrokerageRBServerFillManager,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTest,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTest2,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTest5,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTestDT,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTestFX,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpBrRBServiceDeployment,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpForexAccountingDemo,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpMarketDataManagerDev,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpNotificationServices,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpNotificationServicesPush,,,,,,,No,
Services Permission Policy for GTOSHYBSermayePiyasalari,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpReportMailServer,,,,,,,No,
IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shpafact.dll,file,,,,,,,,,,,,No,
IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shrpubw.exe,file,,,,,,,,,,,,No,
[IMPORTED] IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shpafact.dll,file,,,,,,,,,,,,No,
[IMPORTED] IMPORTANT Allow File Sharing Policy,File or Directory System Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\shrpubw.exe,file,,,,,,,,,,,,No,
Service Permission Policy for Yatirim Bankaciligi (3),Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageRBServerTestSestek,,,,,,,No,
Service Permission Policy for Yatirim Bankaciligi (3),Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerTestSestek,,,,,,,No,
Service Permission Policy for Yatirim Bankaciligi (3),Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTP_IbondService,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BatchProcessService,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTP DT SB File Transfer,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gtp Fill Manager Dev,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gtp Fill Manager Test,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gtp Fill Manager QA,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerDT,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GtpBrokerageAppServerFillManager,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerQA,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerQA2,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerQA3,,,,,,,No,
Set Security Permission Policy For USR_SRV_GAR_GTKCFSSermayePiyasalari_,Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTPBrokerageAPPServerQA4,,,,,,,No,
