Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
Application Policy for GTGuvenlikLogYonetimiveAnalitigi_OwnServers,Executable,,,SCNotification.exe,,Exactly,,,,,,Specific Publishers,Microsoft Corporation,Exactly,System Center Configuration Manager,Exactly,SCNotification,Exactly,Microsoft Corporation,Exactly,5.0.8239.1000,,,5.0.8239.1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy for GTGuvenlikLogYonetimiveAnalitigi_OwnServers,Executable,,,NDP471-KB4033342-x86-x64-AllOS-ENU.exe,,Exactly,,,,,,Specific Publishers,Microsoft Corporation,Exactly,Microsoft .NET Framework 4.7.1,Exactly,Microsoft .NET Framework 4.7.1 Setup,Exactly,Microsoft Corporation,Exactly,4.7.2558.0,,,4.7.2558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTGuvenlikLogYonetimiveAnalitigi_OwnServers,Executable,,,autorun.exe,,Exactly,,,,,,Specific Publishers,"Quest Software, Inc.",Exactly,SPARK,Exactly,Software Provisioning and Resource Kit Launcher,Exactly,Quest,Exactly,1.3.4.2,,,1.3.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,CdAdminNt.exe,,Exactly,,,,,,Ignore Signature,,,CdAdminNT Application,Exactly,CdAdminNT,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,CDConfig.exe,,Exactly,,,,,,Ignore Signature,,,CDCONFIG Application,Exactly,CDConfig,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,CdMsg.exe,,Exactly,,,,,,Ignore Signature,,,CdMSG Application,Exactly,CdMSG,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,CdReq32.exe,,Exactly,,,,,,Ignore Signature,,,IBM® Sterling Connect:Direct® for Microsoft Windows,Exactly,x86 Connect:Direct Client,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,ChNotify.exe,,Exactly,,,,,,Ignore Signature,,,ChNotify Application,Exactly,ChNotify,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,ClntConn.exe,,Exactly,,,,,,Ignore Signature,,,IBM® Sterling Connect:Direct® for Microsoft Windows,Exactly,x86 Connect:Direct Client Connection Utility,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,Dbwiz.exe,,Exactly,,,,,,Ignore Signature,,,DBWIZ Application,Exactly,DBWIZ,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,Direct.exe,,Exactly,,,,,,Ignore Signature,,,IBM® Sterling Connect:Direct® for Microsoft Windows,Exactly,x86 Connect:Direct Command Line Interface,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,ikeyman.exe,,Exactly,,,,,,Specific Publishers,IBM United Kingdom Limited,Exactly,"IBM Developer Kit for Windows,Java,1.7.0",Exactly,Java(TM) Platform SE binary,Exactly,IBM,Exactly,7.0.0.0,,,7.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,,,MsgImp.exe,,Exactly,,,,,,Ignore Signature,,,MsgImp Application,Exactly,MsgImp,Exactly,IBM Corp.,Exactly,4.7.0.0,,,2014.4.27.2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GTIletisimSunucuHizmetleri,Executable,C:\Windows\SysWOW64,with subfolders,cmd.exe,,Exactly,,,,/C,Contains,Specific Publishers,Microsoft Windows,Exactly,Microsoft® Windows® Operating System,Contains,Windows Command Processor,Contains,Microsoft Corporation,Contains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for MainframeUygulamaYonetimi,Executable,,,mmc.exe,,Exactly,,,,eventvwr,Contains,Specific Publishers,Microsoft Windows,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,,,,,No,
Application Policy for MainframeUygulamaYonetimi,Executable,C:\Program Files\IBM\WebSphere MQ\bin64,with subfolders,,,,,,,*,Wildcards,Specific Publishers,IBM United Kingdom Limited,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy for MainframeUygulamaYonetimi,Executable,C:\Program Files\IBM\WebSphere MQ\bin,with subfolders,,,,,,,*,Wildcards,Specific Publishers,IBM United Kingdom Limited,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,No,
Application Policy for GT2.SeviyeDestek ve Yazilim Dagitim,Executable,C:\Windows\System32,with subfolders,mmc.exe,,Exactly,,,,dhcpmgmt,Contains,Specific Publishers,Microsoft Windows,Exactly,Microsoft® Windows® Operating System,Contains,Microsoft Management Console,Contains,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
Application Policy for GT2.SeviyeDestek ve Yazilim Dagitim,Executable,C:\Windows\System32,with subfolders,odbcad32.exe,,Exactly,,,,,,Specific Publishers,Microsoft Windows,Exactly,Microsoft® Windows® Operating System,Contains,ODBC Administrator,Exactly,Microsoft Corporation,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
