Policy Name,Application Type,Location,Location with Subfolders,File Name,Original File Name,File Name Compare As,Checksum Algorithm,Checksum,Owner,Arguments,Arguments Compare As,Signed By,Publisher,Publisher Compare As,Product Name,Product Name Compare As,File Description,File Description Compare As,Company Name,Company Name Compare As,Product Version From,Product Version To,File Version From,File Version To,Script File Name,Script Shortcut Name,MSI/MSP Product Name,MSI/MSP Product Name Compare As,MSI/MSP Company Name,MSI/MSP Company Name Compare As,MSI/MSP Product Version From,MSI/MSP Product Version To,MSI/MSP Product Code,MSI/MSP Upgrade Code,Web Application URL,Web Application URL Compare As,Windows Admin Task,All ActiveX Installation Allowed,ActiveX Source URL,ActiveX Source Compare As,ActiveX MIME Type,ActiveX MIME Type Compare As,ActiveX CLSID,ActiveX Version From,ActiveX Version To,File/Folder Path,File/Folder Type,Folder With subfolders and files,Registry Key,COM Display Name,COM CLSID,Service Name,Elevate Privileges for Child Processes,Remove Admin rights from File Open/Save common dialogs,Apply to Application from specific Source only,Apply Policy to Applications installed before CyberArk EPM Agent,Apply to Application only if its parent process belongs to group,Check direct parent process only,Apply Policy to Application only if it is created,Application Description
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,Raynet GmbH,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,Raynet GmbH,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'Raynet GmbH',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,Raynet GmbH,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,Realtek Semiconductor Corp,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,Realtek Semiconductor Corp,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,Realtek Semiconductor Corp,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,Realtek Semiconductor Corp,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,Realtek Semiconductor Corp,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'Realtek Semiconductor Corp',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,Realtek Semiconductor Corp,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,"Red Hat, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,"Red Hat, Inc.",Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,"Red Hat, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,"Red Hat, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,"Red Hat, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Publisher(s): 'Red Hat, Inc.'",,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,"Red Hat, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,Regula Forensics Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,Regula Forensics Inc.,Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,Regula Forensics Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,Regula Forensics Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,COM Object,,,,,,,,,,,Specific Publishers,Regula Forensics Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Publisher(s): 'Regula Forensics Inc.',,,No,No,,,,,No,
GarantiBBVAPublisherList,Dynamic-Link Library,,,,,,,,,,,Specific Publishers,Regula Forensics Inc.,Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Executable,,,,,,,,,,,Specific Publishers,"Rhino Software, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,No,
GarantiBBVAPublisherList,MSI/MSP Installation,,,,,,,,,,,Specific Publishers,"Rhino Software, Inc.",Exactly,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,Microsoft Update (MSU),,,,,,,,,,,Specific Publishers,"Rhino Software, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,No,
GarantiBBVAPublisherList,ActiveX Control,,,,,,,,,,,Specific Publishers,"Rhino Software, Inc.",Exactly,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,No,No,,,,,No,
